testTask: 1, Test Name: verifyAllLinksUnderQuickLinksFooter, DOM Id: #collapse_1>ul>li, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyAllLinksUnderQuickLinksFooter, DOM Id: #collapse_1>ul>li, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifyAllLinksUnderQuickLinksFooter, DOM Id: #collapse_1>ul>li, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 1, Test Name: verifyApplifashionIcon, DOM Id: #A____8, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyApplifashionIcon, DOM Id: #A____8, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifyApplifashionIcon, DOM Id: #A____8, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 1, Test Name: verifyFilterIcon, DOM Id: #ti-filter, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyFilterIcon, DOM Id: #ti-filter, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifyFilterIcon, DOM Id: #ti-filter, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 1, Test Name: verifyItemsInCartIcon, DOM Id: #STRONG____50, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyItemsInCartIcon, DOM Id: #STRONG____50, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifyItemsInCartIcon, DOM Id: #STRONG____50, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 1, Test Name: verifyListViewIcon, DOM Id: #I__tiviewlist__204, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyListViewIcon, DOM Id: #I__tiviewlist__204, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifyListViewIcon, DOM Id: #I__tiviewlist__204, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 1, Test Name: verifySearchTextField, DOM Id: #INPUTtext____42, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifySearchTextField, DOM Id: #INPUTtext____42, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifySearchTextField, DOM Id: #INPUTtext____42, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 1, Test Name: verifyWishListIcon, DOM Id: #A__wishlist__52, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyWishListIcon, DOM Id: #A__wishlist__52, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifyWishListIcon, DOM Id: #A__wishlist__52, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 2, Test Name: verifyFilteringBasedOnProductColor, DOM Id: #product_grid>div, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 2, Test Name: verifyFilteringBasedOnProductColor, DOM Id: #product_grid>div, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 2, Test Name: verifyFilteringBasedOnProductColor, DOM Id: #product_grid>div, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 1, Test Name: verifyAllLinksUnderQuickLinksFooter, DOM Id: #collapse_1>ul>li, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyAllLinksUnderQuickLinksFooter, DOM Id: #collapse_1>ul>li, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifyAllLinksUnderQuickLinksFooter, DOM Id: #collapse_1>ul>li, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 1, Test Name: verifyApplifashionIcon, DOM Id: #A____8, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyApplifashionIcon, DOM Id: #A____8, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifyApplifashionIcon, DOM Id: #A____8, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 1, Test Name: verifyFilterIcon, DOM Id: #ti-filter, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyFilterIcon, DOM Id: #ti-filter, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
